
time,foot
16.60439,Left,
17.18375,Right,
17.68959,Left,
18.2329,Right,
18.79671,Left,
19.3022,Right,
19.89284,Left,
20.47141,Right,
21.00746,Left,
21.65302,Right,
22.11967,Left,
22.65595,Right,
23.2117,Left,
23.7292,Right,
24.30305,Left,
24.81651,Right,
25.38777,Left,
26.05882,Right,
26.52464,Left,
27.0498,Right,
27.57704,Left,
28.11442,Right,
28.66159,Left,
29.21118,Right,
29.7945,Left,
30.3386,Right,
30.84775,Left,
31.40788,Right,
31.93978,Left,
32.46002,Right,
32.98224,Left,
33.51149,Right,
34.00483,Left,
34.5377,Right,
35.11903,Left,
35.66743,Right,
36.24639,Left,
36.78414,Right,
37.34186,Left,
37.89087,Right,
38.43288,Left,
39.00303,Right,
39.53722,Left,
40.12046,Right,
40.60392,Left,
41.21205,Right,
41.7519,Left,
42.29323,Right,
42.81071,Left,
43.41953,Right,
43.96504,Left,
44.52551,Right,
44.9907,Left,
45.59606,Right,
46.12643,Left,
46.63526,Right,
47.23105,Left,
47.76421,Right,
48.30421,Left,
48.84397,Right,
