time,foot
51.25117,Left,
51.90478,Right,
52.37023,Left,
52.88488,Right,
53.46357,Left,
54.06533,Right,
54.55313,Left,
55.09589,Right,
55.6059,Left,
56.1921,Right,
56.74691,Left,
57.28933,Right,
57.84346,Left,
58.36177,Right,
58.92109,Left,
59.43251,Right,
60.00553,Left,
60.56272,Right,
61.10907,Left,

time,foot
1.399447,Left,
5.116183,Left,
5.66589,Right,
6.266451,Left,
6.816131,Right,
7.399233,Left,
7.932472,Right,
8.514854,Left,
9.065271,Right,
9.647705,Left,
10.34341,Right,
10.84492,Left,
11.4102,Right,
11.98498,Left,
12.50987,Right,
13.02525,Left,
13.80551,Right,
14.17067,Left,
15.23117,Left,
16.26684,Left,
17.39678,Left,
17.98959,Right,
18.46609,Left,
19.09159,Right,
19.56689,Left,
20.61903,Left,
21.74204,Left,
22.34548,Right,
22.79005,Left,
23.34789,Right,
23.89864,Left,
24.42543,Right,
24.99404,Left,
25.56749,Right,
26.14315,Left,
26.68721,Right,
27.22122,Left,
27.8241,Right,
28.29675,Left,
28.83007,Right,
29.38851,Left,
29.87671,Right,
30.43952,Left,
31.0388,Right,
31.59,Left,
32.13842,Right,
32.64261,Left,
33.19028,Right,
33.72423,Left,
34.31708,Right,
34.7924,Left,
35.34044,Right,
35.86022,Left,
36.42159,Right,
37.02475,Left,
37.54088,Right,
38.12237,Left,
38.85876,Right,
39.2658,Left,
40.00355,Right,
40.38427,Left,
41.21225,Right,
41.46849,Left,
41.91771,Right,
42.43414,Left,
43.06644,Right,
43.62365,Left,
44.21885,Right,
44.79768,Left,
45.26736,Right,
45.82167,Left,
46.33133,Right,
46.91428,Left,
47.4195,Right,
47.9901,Left,
48.54577,Right,
49.06055,Left,
49.66054,Right,
50.22364,Left,
50.75133,Right,
51.23801,Left,
51.87479,Right,
52.37384,Left,
52.90803,Right,
53.40583,Left,
53.99203,Right,
54.50455,Left,
55.21947,Right,
55.53362,Left,
55.57337,Right,
56.12099,Right,
56.69558,Left,
57.28153,Right,
57.78821,Left,
58.30181,Right,
58.89605,Left,
59.44885,Right,
59.9546,Left,
60.51419,Right,
61.04015,Left,
61.60384,Right,
62.18809,Left,
62.76535,Right,
63.28639,Left,
63.8347,Right,

time,foot
0.400224,Left,
1.03353,Right,
1.633548,Left,
2.266706,Right,
2.931108,Left,
3.467292,Right,
4.016841,Left,
4.548516,Right,
5.083493,Left,
5.549578,Right,
6.067628,Left,
6.596377,Right,
7.166542,Left,
7.765871,Right,
8.332267,Left,
8.79895,Right,
9.415044,Left,
9.997026,Right,
10.5822,Left,
11.11529,Right,
11.69816,Left,
12.18104,Right,
12.68098,Left,
13.18893,Right,
13.74103,Left,
14.28129,Right,
14.8958,Left,
15.42201,Right,
15.99963,Left,
16.5085,Right,
17.02187,Left,
17.54384,Right,
18.08012,Left,
18.67712,Right,
19.21087,Left,
19.79569,Right,
20.37886,Left,
20.89626,Right,
21.41638,Left,
21.96737,Right,
22.47155,Left,
23.02579,Right,
23.59593,Left,
24.16311,Right,
24.72379,Left,
25.27793,Right,
25.79774,Left,
26.36983,Right,
26.91333,Left,
27.48968,Right,
28.06294,Left,
28.60347,Right,
29.103,Left,
29.65549,Right,
30.1696,Left,
30.7029,Right,
31.32322,Left,
31.88471,Right,
32.39392,Left,
32.8712,Right,
33.56135,Left,
34.00126,Right,
34.66464,Left,
35.10701,Right,
35.71899,Left,
36.12157,Right,
36.78168,Left,
37.2597,Right,
37.88725,Left,
38.33442,Right,
38.94126,Left,
39.39437,Right,
40.06075,Left,
40.54916,Right,
41.19596,Left,
41.70263,Right,
42.22829,Left,
42.72772,Right,
43.32832,Left,
43.8398,Right,
44.42504,Left,
44.9479,Right,
45.51168,Left,
46.0777,Right,
46.61041,Left,
47.15636,Right,
47.7389,Left,
48.22795,Right,
48.84181,Left,
49.42485,Right,
49.93579,Left,
50.40436,Right,
51.0058,Left,
51.54388,Right,
52.10991,Left,
52.63965,Right,
53.18164,Left,
53.78041,Right,
54.32492,Left,
54.77432,Right,
55.43249,Left,
55.86606,Right,
56.46558,Left,
56.93093,Right,
57.54839,Left,
58.08952,Right,
58.71927,Left,
59.18377,Right,
59.81162,Left,

time,foot
0.2336049,Left,
0.8000934,Right,
1.300024,Left,
1.799985,Right,
2.264373,Left,
2.800469,Right,
3.350522,Left,
3.883725,Right,
4.417658,Left,
5.000479,Right,
5.583212,Left,
6.15049,Right,
6.683089,Left,
6.947141,Right,
7.245324,Right,
7.781991,Left,
7.911597,Right,
8.28814,Right,
8.860687,Left,
9.413387,Right,
10.00057,Left,
10.55024,Right,
11.11585,Left,
11.65305,Right,
12.17026,Left,
12.66728,Right,
13.24994,Left,
13.76208,Right,
14.3318,Left,
14.4564,Right,
14.82471,Right,
15.42741,Left,
15.99906,Right,
16.57713,Left,
17.08564,Right,
17.67367,Left,
18.14188,Right,
18.71431,Left,
19.21745,Right,
19.86381,Left,
20.35807,Right,
20.94754,Left,
21.44289,Right,
22.02834,Left,
22.54397,Right,
